"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치년도,관리기관명,관리기관전화번호,데이터기준일자
F6313,대전광역시,유성구,5,10,도안동로,1,,대전광역시 유성구 원신흥동487,36.3441666,127.3469444,대전광역시 유성구 도안동로(원신흥동487) 양우내안애(아) 앞 삼거리,2,50,,,,2010,대전지방경찰청,042-609-2852,2020-08-31
F6314,대전광역시,동구,5,10,계족로,1,,대전광역시 동구 용전동 173-1,36.3518888,127.4323611,대전광역시 동구 계족로447 국토관리청 앞 (2대),1,50,,,,2010,대전지방경찰청,042-609-2852,2020-08-31
F6315,대전광역시,대덕구,5,10,신탄진로,1,,대전광역시 대덕구 연축동 산6-2,36.3974166,127.4231111,대전광역시 대덕구 신탄진로200 수자원공사 앞,1,30,,,,2010,대전지방경찰청,042-609-2852,2020-08-31
F6316,대전광역시,유성구,5,10,계백로,1,,대전광역시 유성구 방동 690-1,36.2735011,127.2684166,대전광역시 유성구 계백로(방동690-1) 두마교차로 (2대),1,70,,,,2010,대전지방경찰청,042-609-2852,2020-08-31
F6649,대전광역시,유성구,5,10,현충원로,1,,대전광역시 유성구 구암동 693,36.3603888,127.3056111,대전광역시 유성구 현충원로(구암동693) 덕명네거리,2,60,,,,2010,대전지방경찰청,042-609-2852,2020-08-31
F6650,대전광역시,유성구,5,10,동서대로,1,,대전광역시 유성구 덕명동 527,36.3578055,127.3035011,대전광역시 유성구 동서대로(덕명동527) 신협연수원 앞 네거리,2,60,,,,2011,대전지방경찰청,042-609-2852,2020-08-31
F6810,대전광역시,중구,5,10,대종로,1,,대전광역시 중구 중촌동 99-1,36.3398611,127.4114444,대전광역시 중구 대종로675 금성백조(아) 앞 네거리,2,30,,,2,2011,대전지방경찰청,042-609-2852,2020-08-31
F6811,대전광역시,중구,5,10,문화로,1,,대전광역시 중구 문화동 284-168,36.3155001,127.4076944,대전광역시 중구 문화로(문화동284-168) 센트럴파크(아) 앞 네거리,2,60,,,2,2011,대전지방경찰청,042-609-2852,2020-08-31
F6812,대전광역시,동구,5,10,계족로,1,,대전광역시 동구 소제동 299-375,36.3349166,127.4392777,대전광역시 동구 계족로251 장원약국 앞 삼거리,2,50,,,,2011,대전지방경찰청,042-609-2852,2020-08-31
F6813,대전광역시,동구,5,10,동대전로,1,,대전광역시 동구 자양동 67-18,36.3364166,127.4472505,대전광역시 동구 동대전로161 우송대 앞 삼거리,2,50,,,,2011,대전지방경찰청,042-609-2852,2020-08-31
F6814,대전광역시,서구,5,10,도산로,1,,대전광역시 서구 도마동 99-1,36.3192677,127.3777754,대전광역시 서구 도산로(도마동99-1) 구농도원네거리,2,50,,,,2011,대전지방경찰청,042-609-2852,2020-08-31
F6815,대전광역시,대덕구,5,10,대덕대로,1,,대전광역시 대덕구 문평동 43-1,36.4415277,127.3999444,대전광역시 대덕구 대덕대로(문평동43-1) 대덕산단네거리,2,50,,,,2011,대전지방경찰청,042-609-2852,2020-08-31
F6816,대전광역시,대덕구,5,10,계족로,1,,대전광역시 대덕구 읍내동 54,36.3791455,127.4264533,대전광역시 대덕구 계족로 761번길 24 현대(아) 앞 삼거리,2,50,,,,2011,대전지방경찰청,042-609-2852,2020-08-31
F6817,대전광역시,유성구,5,10,대학로,1,,대전광역시 유성구 궁동 27-2,36.3605011,127.3502222,대전광역시 유성구 대학로 이마트24 (궁동27-2) 앞 삼거리,2,60,,,,2011,대전지방경찰청,042-609-2852,2020-08-31
F6818,대전광역시,유성구,5,10,북유성대로,1,,대전광역시 유성구 반석동 679,36.3959466,127.3118408,대전광역시 유성구 북유성대로(반석동679) 외삼네거리,2,60,,,,2011,대전지방경찰청,042-609-2852,2020-08-31
F6819,대전광역시,동구,5,10,옥천로,1,,대전광역시 동구 세천동 549-7,36.3389166,127.4899722,대전광역시 동구 옥천로(세천동 549-7) 세천2교 앞,1,50,,,,2011,대전지방경찰청,042-609-2852,2020-08-31
F6820,대전광역시,동구,5,10,동부로,1,,대전광역시 동구 용운동 274-1,36.3283055,127.4665277,대전광역시 동구 동부로 170 복음타운(아) 앞,1,60,,,,2011,대전지방경찰청,042-609-2852,2020-08-31
F6821,대전광역시,유성구,5,10,한밭대로,1,,대전광역시 유성구 궁동 498,36.3601944,127.3505833,대전광역시 유성구 한밭대로458 행정타운주유소 앞,1,60,,,,2012,대전지방경찰청,042-609-2852,2020-08-31
F6822,대전광역시,유성구,5,10,북유성대로,1,,대전광역시 유성구 안산동 300-1,36.4132777,127.3002501,대전광역시 유성구 북유성대로 안산동 300-1 마을입구,1,80,,,,2012,대전지방경찰청,042-609-2852,2020-08-31
F7116,대전광역시,중구,5,10,대둔산로,1,,대전광역시 중구 사정동 513-9,36.2926666,127.3824722,대전광역시 중구 대둔산로262 우남스타원(아) 앞 삼거리,2,50,,,,2013,대전지방경찰청,042-609-2852,2020-08-31
F7117,대전광역시,동구,5,10,계족로,1,,대전광역시 동구 성남동 528,36.3441388,127.4339166,대전광역시 동구 계족로(성남동 528) 스마트뷰(아) 앞,2,50,,,,2013,대전지방경찰청,042-609-2852,2020-08-31
F7118,대전광역시,유성구,5,10,월드컵대로,1,,대전광역시 유성구 구암동613-9,36.3486388,127.3352777,대전광역시 유성구 월드컵대로(구암동613-9) 상대초등학교 앞(유성고),1,60,,,2,2013,대전지방경찰청,042-609-2852,2020-08-31
F7902,대전광역시,중구,5,10,대종로,1,,대전광역시 중구 부사동 99-1,36.3153333,127.4335555,대전광역시 중구 대종로331 문창네거리,2,50,,,,2013,대전지방경찰청,042-609-2852,2020-08-31
F7903,대전광역시,동구,5,10,옥천로,1,,대전광역시 동구 판암동294-10,36.3183611,127.4622222,대전광역시 동구 옥천로(판암동294-10) 판암네거리,2,50,,,,2013,대전지방경찰청,042-609-2852,2020-08-31
F7904,대전광역시,대덕구,5,10,신탄진로,1,,대전광역시 대덕구 와동 287-1,36.4111111,127.4249166,대전광역시 대덕구 신탄진로347 (와동 287-1) 아우디서비스 앞 삼거리,2,50,,,,2013,대전지방경찰청,042-609-2852,2020-08-31
F7905,대전광역시,유성구,5,10,동서대로,1,,대전광역시 유성구 원신흥동 558-5,36.3323333,127.3408661,대전광역시 유성구 동서대로695 어울림하트(아) 1201동 앞 네거리,2,60,,,,2013,대전지방경찰청,042-609-2852,2020-08-31
F7906,대전광역시,중구,5,10,보문산로,1,,대전광역시 중구 문화동 103-5,36.3101944,127.4113888,대전광역시 중구 보문산로 306번길(문화동 103-5) 홍성자원 앞,1,60,,,,2013,대전지방경찰청,042-609-2852,2020-08-31
F7907,대전광역시,동구,5,10,옥천로,1,,대전광역시 동구 판암동 605-6,36.3195277,127.4491388,대전광역시 동구 옥천로71 신흥역 앞,1,50,,,,2013,대전지방경찰청,042-609-2852,2020-08-31
F7908,대전광역시,동구,5,10,대학로,1,,대전광역시 동구 용운동 96-3,36.3363888,127.4636388,대전광역시 동구 대학로 62 대전대학교 동문 앞,1,60,,,,2013,대전지방경찰청,042-609-2852,2020-08-31
F7909,대전광역시,서구,5,10,신갈마로,1,,대전광역시 서구 내동 220-13,36.3369166,127.3666388,대전광역시 서구 신갈마로19 외국어고 앞,1,50,,,,2013,대전지방경찰청,042-609-2852,2020-08-31
F7910,대전광역시,대덕구,5,10,신탄진로,1,,대전광역시 대덕구 평촌동534-23,36.4355277,127.4253333,대전광역시 대덕구 신탄진로(평촌동534-23) 평촌동 버스정류장,1,50,,,,2013,대전지방경찰청,042-609-2852,2020-08-31
F7911,대전광역시,대덕구,5,10,산업단지로,1,,대전광역시 대덕구 신일동 57-1,36.4301111,127.4116944,대전광역시 대덕구 산업단지로 92-16 현대신일자동차공업사 앞,1,50,,,,2013,대전지방경찰청,042-609-2852,2020-08-31
F7912,대전광역시,서구,5,10,둔산대로,1,,대전광역시 서구 월평동 218-1,36.3648333,127.3732222,대전광역시 서구 둔산대로(월평동 218-1) 월평주공(아) 305동 뒤,1,50,,,,2013,대전지방경찰청,042-609-2852,2020-08-31
F7913,대전광역시,유성구,5,10,유성대로,1,,대전광역시 유성구 교촌동 616,36.3057777,127.3198611,대전광역시 유성구 유성대로(교촌동 616) 한승미메이드(아) 202동 앞,1,60,,,,2013,대전지방경찰청,042-609-2852,2020-08-31
F7914,대전광역시,유성구,5,10,도안대로,1,,대전광역시 유성구 상대동 467-9,36.3461388,127.3401111,대전광역시 유성구 도안대로(상대동 467-9) 세우프라자 앞 (버스정류장 앞),2,60,,,,2013,대전지방경찰청,042-609-2852,2020-08-31
F7915,대전광역시,유성구,5,10,대덕대로,1,,대전광역시 유성구 도룡동 380-4,36.3891518,127.3747483,대전광역시 유성구 대덕대로 665 도룡삼거리 400미터 전,1,50,,,,2014,대전지방경찰청,042-609-2852,2020-08-31
F7916,대전광역시,유성구,5,10,월드컵대로,1,,대전광역시 유성구 상대동 138-14,36.3484444,127.3352222,대전광역시 유성구 월드컵대로 322 상대초등학교 앞,1,60,,,2,2014,대전지방경찰청,042-609-2852,2020-08-31
F8696,대전광역시,유성구,5,10,대덕대로,1,,대전광역시 유성구 화암동 940,36.4123838,127.3779973,대전광역시 유성구 대덕대로(화암동940) 대전전자디자인고교앞(→화암4가),1,50,,,,2014,대전지방경찰청,042-609-2852,2020-08-31
F8697,대전광역시,유성구,5,10,대덕대로,1,,대전광역시 유성구 화암동 940,36.4123774,127.3782719,대전광역시 유성구 대덕대로(화암동940) 대전전자디자인고교앞(→북대전IC),1,50,,,,2014,대전지방경찰청,042-609-2852,2020-08-31
F8703,대전광역시,유성구,5,10,구즉세종로,1,,대전광역시 유성구 둔곡동 316-6,36.3995341,127.3956604,대전광역시 유성구 유성대로(전민동 461-13) 한국한의학연구원 앞,1,50,,,,2014,대전지방경찰청,042-609-2852,2020-08-31
F8704,대전광역시,유성구,5,10,구즉세종로,1,,대전광역시 유성구 둔곡동 산32-5,36.4656419,127.3671211,대전광역시 유성구 구즉세종로(둔곡동 산32-5) 둔곡터널 200m전(→세종),1,80,,,,2014,대전지방경찰청,042-609-2852,2020-08-31
F9159,대전광역시,서구,5,10,정림로,1,,대전광역시 서구 정림동 693,36.3007912,127.3670601,대전광역시 서구 구봉로 419 정림우체국앞 삼거리,1,40,,,,2014,대전지방경찰청,042-609-2852,2020-08-31
F9160,대전광역시,서구,5,10,괴곡길,1,,대전광역시 서구 괴곡동 361-2,36.2952264,127.3622476,대전광역시 서구 괴곡길 42 수미초교 앞,1,30,,,2,2014,대전지방경찰청,042-609-2852,2020-08-31
F9161,대전광역시,중구,5,10,산서로,1,,대전광역시 중구 사정동 산52-1,36.2948127,127.3896631,대전광역시 중구 산서로 (사정동 산52-1) 상당정류장 앞,1,50,,,,2014,대전지방경찰청,042-609-2852,2020-08-31
F9472,대전광역시,서구,5,10,벌곡로,1,,대전광역시 서구 평촌동 116-11,36.2391151,127.3181761,대전광역시 서구 벌곡로 390 (평촌동 116-11) 협신통신 앞,1,50,,,,2014,대전지방경찰청,042-609-2852,2020-08-31
F9473,대전광역시,서구,5,10,벌곡로,1,,대전광역시 서구 평촌동 173-1,36.2392363,127.3182981,대전광역시 서구 벌곡로 379 (평촌동 173-1) 평촌마을회관 앞,1,50,,,1,2014,대전지방경찰청,042-609-2852,2020-08-31
F9474,대전광역시,중구,5,10,대둔산로,1,,대전광역시 중구 안영동 366-2,36.2823816,127.3760661,대전광역시 중구 대둔산로 150 안영IC 앞,1,70,,,,2014,대전지방경찰청,042-609-2852,2020-08-31
F9475,대전광역시,서구,5,10,벌곡로,1,,대전광역시 서구 괴곡동889,36.2759855,127.3481524,대전광역시 서구 벌곡로(괴곡동889) 상보안교 전,1,60,,,,2014,대전지방경찰청,042-609-2852,2020-08-31
F9476,대전광역시,유성구,5,10,지족로,1,,대전광역시 유성구 지족동 1033,36.3873003,127.3032267,대전광역시 유성구 지족로 240 해랑숲마을 5단지 앞,1,60,,,,2014,대전지방경찰청,042-609-2852,2020-08-31
F9477,대전광역시,중구,5,10,동서대로,1,,대전광역시 중구 태평동 259-23,36.3271776,127.3993564,대전광역시 중구 동서대로 1255 태평네거리,2,60,,,,2014,대전지방경찰청,042-609-2852,2020-08-31
F9478,대전광역시,대덕구,5,10,한밭대로,1,,대전광역시 대덕구 중리동 439-4,36.3590931,127.4201936,대전광역시 대덕구 한밭대로 1095 다모아백화점 앞 네거리,2,50,,,,2016,대전지방경찰청,042-609-2852,2020-08-31
F9479,대전광역시,대덕구,5,10,대전로,1,,대전광역시 대덕구 읍내동 329-1,36.3744355,127.4204582,대전광역시 대덕구 대전로 1356 회덕초교 앞 삼거리,2,30,,,2,2016,대전지방경찰청,042-609-2852,2020-08-31
F9480,대전광역시,서구,5,10,한밭대로,1,,대전광역시 서구 월평동301,36.3579711,127.3741011,대전광역시 서구 한밭대로(월평동301) 갈마공원네거리,2,50,,,,2016,대전지방경찰청,042-609-2852,2020-08-31
F9481,대전광역시,유성구,5,10,유성대로,1,,대전광역시 유성구 신성동223-25,36.3917103,127.3481776,대전광역시 유성구 유성대로(신성동223-25) 신성주민센터입구 삼거리,2,60,,,,2016,대전지방경찰청,042-609-2852,2020-08-31
F9482,대전광역시,유성구,5,10,유성대로,1,,대전광역시 유성구 죽동 704-10,36.3711744,127.3402376,대전광역시 유성구 유성대로 875 충대서문네거리,2,60,,,,2017,대전지방경찰청,042-609-2852,2020-08-31
F9483,대전광역시,유성구,5,10,북유성대로,1,,대전광역시 유성구 지족동1004,36.3868643,127.3180054,대전광역시 유성구 북유성대로(지족동1004) 반석네거리,2,60,,,,2017,대전지방경찰청,042-609-2852,2020-08-31
G0221,대전광역시,유성구,5,10,한밭대로,1,,대전광역시 유성구 장대동17-1,36.3667031,127.3323066,대전광역시 유성구 한밭대로(장대동17-1) 죽동네거리,2,60,,,,2017,대전지방경찰청,042-609-2852,2020-08-31
G0502,대전광역시,동구,5,10,한밭대로,1,,대전광역시 동구 구도동164-18,36.2725819,127.4726003,대전광역시 동구 대전로(구도동164-18) 남대전IC 앞 네거리,1,80,,,,2017,대전지방경찰청,042-609-2852,2020-08-31
G0503,대전광역시,서구,5,10,대전로,1,,대전광역시 서구 흑석동110-3,36.2713018,127.3459047,대전광역시 서구 벌곡로(흑석동110-3) 상보안교 후,1,60,,,,2017,대전지방경찰청,042-609-2852,2020-08-31
G0504,대전광역시,유성구,5,10,벌곡로,1,,대전광역시 유성구 원신흥동 46-3,36.3323346,127.3512374,대전광역시 유성구 동서대로 (원신흥동46-3)  도안대교 후,1,60,,,,2017,대전지방경찰청,042-609-2852,2020-08-31
G0505,대전광역시,대덕구,5,10,계족로,1,,대전광역시 대덕구 읍내동 523,36.3817371,127.4263093,대전광역시 대덕구 계족로(읍내동 523) 읍내삼거리,1,50,,,,2017,대전지방경찰청,042-609-2852,2020-08-31
G0506,대전광역시,대덕구,5,10,대덕대로,1,,대전광역시 대덕구 신일동 1682-2,36.4448031,127.4048794,대전광역시 대덕구 대덕대로 1448번길 50 대덕경찰서네거리,2,50,,,,2017,대전지방경찰청,042-609-2852,2020-08-31
G0507,대전광역시,서구,5,10,유등로,1,,대전광역시 서구 둔산동 1694,36.3612776,127.3966127,대전광역시 서구 유등로(둔산동 1694) 샘머리(아) 옆 삼거리,2,50,,,,2017,대전지방경찰청,042-609-2852,2020-08-31
G0508,대전광역시,서구,5,10,유등로,1,,대전광역시 서구 탄방동 1460,36.3487697,127.4016818,대전광역시 서구 유등로(탄방동 1460) 보라삼거리,2,50,,,,2017,대전지방경찰청,042-609-2852,2020-08-31
G0509,대전광역시,유성구,5,10,엑스포로,1,,대전광역시 유성구 문지동 256-10,36.3960806,127.4050448,대전광역시 유성구 엑스포로 434 평생학습센터 앞 삼거리,2,60,,,,2017,대전지방경찰청,042-609-2852,2020-08-31
G0510,대전광역시,유성구,5,10,대학로,1,,대전광역시 유성구 구성동 275-1,36.3653471,127.3640345,대전광역시 유성구 대학로(구성동 275-1) 카이스트 앞 삼거리,2,60,,,,2017,대전지방경찰청,042-609-2852,2020-08-31
G0511,대전광역시,유성구,5,10,가정로,1,,대전광역시 유성구 신성동 6,36.3839703,127.3462305,대전광역시 유성구 가정로 76(신성동 6) 한화케미칼 앞 삼거리,2,50,,,,2017,대전지방경찰청,042-609-2852,2020-08-31
G0512,대전광역시,유성구,5,10,월드컵대로,1,,대전광역시 유성구 봉명동 1019-8,36.3486628,127.3480263,대전광역시 유성구 월드컵대로(봉명동 1019-8)  계룡대교네거리,2,60,,,,2017,대전지방경찰청,042-609-2852,2020-08-31
G0789,대전광역시,동구,5,10,천동초등동길,1,,대전광역시 동구 천동186-3,36.3171281,127.4446483,대전광역시 동구 천동186-3 천동초교 앞,1,30,,,2,2017,대전지방경찰청,042-609-2852,2020-08-31
G1689,대전광역시,동구,5,10,대둔산로,1,,대전광역시 중구 사정동419,36.2988465,127.3848672,대전광역시 중구 대둔산로 332 (사정동419) 산성초교삼거리,2,50,,,2,2017,대전지방경찰청,042-609-2852,2020-08-31
G1690,대전광역시,중구,5,10,대종로,1,,대전광역시 중구 중촌동83,36.3410411,127.4105861,대전광역시 중구 대종로 684 (중촌동83) 중촌초교 앞,1,30,,,2,2018,대전지방경찰청,042-609-2852,2020-08-31
G1691,대전광역시,중구,5,10,어덕마을로,1,,대전광역시 중구 목동산33-6,36.3377361,127.4046051,대전광역시 중구 목동로 69 (목동산33-6) 목양초교삼거리,2,40,,,2,2018,대전지방경찰청,042-609-2852,2020-08-31
G1692,대전광역시,중구,5,10,태평로,1,,대전광역시 중구 태평2동422-32,36.3181561,127.3918111,대전광역시 중구 태평로 21 (태평2동422-32) 버드네초교삼거리,2,50,,,2,2018,대전지방경찰청,042-609-2852,2020-08-31
G1693,대전광역시,중구,5,10,선화로,1,,대전광역시 중구 용두동 27-13,36.3255111,127.4113311,대전광역시 중구 선화로 17 (용두동 27-13) 서대전초교 앞 삼거리,2,40,,,2,2018,대전지방경찰청,042-609-2852,2020-08-31
G1694,대전광역시,중구,5,10,유천로,1,,대전광역시 중구 태평2동 385-10,36.3221921,127.3961741,대전광역시 중구 유천로 117 (태평2동 385-10) 태평초교네거리,2,40,,,2,2018,대전지방경찰청,042-609-2852,2020-08-31
G1695,대전광역시,동구,5,10,대전로,1,,대전광역시 동구 대성동129,36.3025141,127.4557331,대전광역시 동구 대전로 396 (대성동129) 은어송초교삼거리,2,50,,,2,2018,대전지방경찰청,042-609-2852,2020-08-31
